1.
~$ ps aux
USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
clarentz  1570  0.0  0.0  42816   392 ?        S    08:07   0:00 upstart-file-br
clarentz  1574  0.0  0.1 276048  6336 ?        Sl   08:07   0:00 /usr/lib/gvfs/g
clarentz  1580  0.0  0.1 406860  5272 ?        Sl   08:07   0:00 /usr/lib/gvfs/g
clarentz  1583  0.0  0.1 265784  6080 ?        Sl   08:07   0:00 /usr/lib/ibus/i
clarentz  1586  0.0  0.7 471572 28720 ?        Sl   08:07   0:00 /usr/lib/ibus/i
clarentz  1605  0.0  0.5 422112 20232 ?        Sl   08:07   0:00 /usr/lib/ibus/i
clarentz  1608  0.0  0.0 168068   680 ?        Ss   08:07   0:00 gpg-agent --hom
clarentz  1616  0.0  0.1 189916  5260 ?        Sl   08:07   0:00 /usr/lib/ibus/i
clarentz  1625  0.0  0.6 518036 26892 ?        Ssl  08:07   0:01 /usr/lib/x86_64
clarentz  1639  0.1  1.0 719184 42460 ?        Ssl  08:07   0:01 /usr/lib/x86_64
clarentz  1641  0.0  0.9 932892 38480 ?        Ssl  08:07   0:00 /usr/lib/unity-
clarentz  1647  0.0  0.1 338000  5852 ?        Ssl  08:07   0:00 /usr/lib/at-spi
clarentz  1648  0.0  0.4 559528 16656 ?        Ssl  08:07   0:00 /usr/lib/gnome-
clarentz  1655  0.1  0.8 559640 34700 ?        Ssl  08:07   0:01 /usr/lib/x86_64
clarentz  1657  0.0  0.1  42900  3964 ?        S    08:07   0:00 /usr/bin/dbus-d
clarentz  1664  0.0  0.1 206860  5004 ?        Sl   08:07   0:00 /usr/lib/at-spi
clarentz  1675  0.0  0.1 355948  6976 ?        Ssl  08:07   0:00 /usr/lib/x86_64
clarentz  1676  0.0  0.1 408648  7688 ?        Ssl  08:07   0:00 /usr/lib/x86_64
clarentz  1677  0.0  0.2 504640 10476 ?        Ssl  08:07   0:00 /usr/lib/x86_64
clarentz  1687  0.0  0.4 1234492 18632 ?       Ssl  08:07   0:00 /usr/lib/x86_64
clarentz  1688  0.0  0.7 651484 28100 ?        Ssl  08:07   0:00 /usr/lib/x86_64
clarentz  1689  0.0  0.2 665152 10572 ?        Ssl  08:07   0:00 /usr/lib/x86_64
clarentz  1690  0.0  0.6 541828 24808 ?        Ssl  08:07   0:00 /usr/lib/x86_64
clarentz  1691  0.0  0.1 954400  6464 ?        Ssl  08:07   0:00 /usr/lib/x86_64
clarentz  1708  0.0  0.3 395940 12644 ?        Ssl  08:07   0:00 /usr/lib/x86_64
clarentz  1731  0.2  0.2 510412 11616 ?        S<l  08:07   0:03 /usr/bin/pulsea
clarentz  1738  0.0  0.2 341732 10156 ?        Sl   08:07   0:00 /usr/lib/geoclu
clarentz  1741  0.0  0.1 178760  4876 ?        Sl   08:07   0:00 /usr/lib/dconf/
clarentz  1752  0.0  0.0  22372  1160 ?        S    08:07   0:00 syndaemon -i 1.
clarentz  1755  0.0  0.6 622828 24664 ?        Sl   08:07   0:00 /usr/lib/evolut
clarentz  1802  0.0  0.2 429572 11856 ?        Sl   08:07   0:00 /usr/lib/x86_64
clarentz  1808  0.1  2.3 1303428 91476 ?       Sl   08:07   0:02 /usr/bin/gnome-
clarentz  1813  0.0  0.4 423628 19484 ?        Sl   08:07   0:00 /usr/lib/policy
clarentz  1814  0.0  0.5 571132 20288 ?        Sl   08:07   0:00 /usr/lib/unity-
clarentz  1815  0.0  0.8 657388 33560 ?        Sl   08:07   0:00 nm-applet
clarentz  1816  0.4  1.3 1235084 53756 ?       Sl   08:07   0:06 nautilus -n
clarentz  1829  0.0  0.1 360704  7848 ?        Sl   08:07   0:00 /usr/lib/gvfs/g
root      1838  0.0  0.2 367736  8812 ?        Ssl  08:07   0:00 /usr/lib/udisks
clarentz  1840  2.2  3.6 1274972 142816 ?      Ssl  08:07   0:30 compiz
clarentz  1852  0.0  0.1 261168  4968 ?        Sl   08:07   0:00 /usr/lib/gvfs/g
clarentz  1857  0.0  0.1 273364  5540 ?        Sl   08:07   0:00 /usr/lib/gvfs/g
clarentz  1865  0.0  0.2 405140  8900 ?        Sl   08:07   0:00 /usr/lib/gvfs/g
clarentz  1871  0.0  0.1 259060  7124 ?        Sl   08:07   0:00 /usr/lib/gvfs/g
clarentz  1877  0.0  1.5 857336 61344 ?        Sl   08:07   0:00 /usr/lib/evolut
